S.No.,Test Case,Type of Test case (Positive/Negative),Remarks
40,Verify the data storage and data validation requirements.,Positive,
41,Verify that the session management is enabled for preventing unauthorized users to access unsolicited information.,Negative,
42,Verify if any cryptography code is broken and ensure that it is repaired.,Negative,
43,Verify that whether the business logic implementation is secured and not vulnerable to any attack from outside.,Negative,
44,"Verify file system interactions, determine any vulnerability and correct these problems.",Positive,
45,Verify that the protocol handlers for example trying to reconfigure the default landing page for the application using a malicious iframe.,Negative,
46,Verify that application is capable enough to protect against malicious client side and runtime injections.,Negative,
47,Verify file caching and prevent any malicious possibilities from the same.,Negative,
48,Verify prevention from insecure data storage in the keyboard cache of the applications.,Negative,
49,Verify cookies and prevent any malicious deeds from the cookies.,Negative,
50,Verify the custom created files and prevent any malicious deeds from the custom created files.,Negative,
51,Verify buffer overflows and memory corruption cases.,Negative,
52,Verify different data streams and prevent any vulnerabilities from these.,Negative,
53,Verify that the buttons should have the required size and be suitable to big fingers.,Positive,
54,Verify that the buttons are placed in the same section of the screen to avoid confusion to the end users.,Positive,
55,Verify that the icons are natural and consistent with the application.,Positive,
56,"Verify that the buttons, which have the same function should also have the same color.",Positive,
57,Verify that the validation for the tapping zoom-in and zoom-out facilities should be enabled.,Positive,
58,Verify that the keyboard input can be minimized in an appropriate manner.,Positive,
59,"Verify that the application provides a method for going back or undoing an action, on touching the wrong item, within an acceptable duration.",Positive,
60,Verify that the contextual menus are not overloaded because it has to be used quickly.,Positive,
61,Verify that the text is kept simple and clear to be visible to the users.,Positive,
62,Verify that the short sentences and paragraphs are readable to the end users.,Positive,
63,Verify that the font size is big enough to be readable and not too big or too small.,Positive,
64,Verify that the application prompts the user whenever the user starts downloading a large amount of data which may be not conducive for the application performance.,Positive,
65,Verify that closing of the application is performed from different states and verify if it re-opens in the same state.,Positive,
66,Verify that all strings are converted into appropriate languages whenever a language translation facility is available.,Positive,
67,Verify that the application items are always synchronized according to the user actions.,Positive,
68,Verify all elements display with portrait and landscape page orientation.,Positive,
69,Verify that the advertising has an accessible closing button,Positive,
70,Verify that the update progress is displayed properly.,Positive,
71,"Verify that the user interface of the application is as per the screen size of the device, no text/control is partially invisible or inaccessible.",Positive,
72,Verify that the alarm functionality is enabled whenever the application is running.,Positive,
73,Verify that how the application handles a transaction during a power failure (i.e. Battery dies or a sudden manual shutdown of the device),Negative,
74,"Verify that for suspended connection (the system needs to re-establish for recovering the data) application is not affected directly.",Negative,
75,Verify that localized content should be checked for accuracy. This should also include all validation or error messages that may arise.,Positive,
76,"Verify that language should be properly formatted. (ie. Arabic format of right to left, the Japanese writing style of LastName, FirstName, etc.)",Positive,
77,Verify that terminology is consistent across UI.,Positive,
78,Verify that time and date are properly formatted.,Positive,
79,Verify that currency is the local equivalent.,Positive,
80,Verify that colours are appropriate and convey the right message.,Positive,
81,Verify that license and rules obeying target region laws and regulations.,Positive,
82,Verify that text content layout is error-free.,Positive,
83,Verify that hyperlinks and hotkey functionality work as expected.,Positive,
84,Verify that entry fields support special characters and are validated as necessary (ie. postal codes),Positive,
85,Verify that the localized user interface has the same type of elements and numbers as the source product.,Positive,
